song,artist,genre,lyrics,audio_path,language
দয়াল হরি তুমি বিনে জীবের দুক আর কে বুঝিবে,রাধারমণ দত্ত,ফোক গান,দয়াল হরি তুমি বিনে জীবের দুক আর কে বুঝিবে।।ধু।। হরি দীনবন্ধু কৃপা সিন্ধু বিন্দু দানে কি শুকাবে।।চি।।আমার যাওয়া যাদের সঙ্গে পথে দিল ভঙ্গ সবে জীর্ণ তরী তুফান ভারী ঘুরবে ফিরি ভবাণীবে।।১।। না জানি সাঁতার নাই কর্ণধার অগাধ জলে মারি ডুবে।।২।। জীব সংশয় বিপদ সময় রাতুল চরণ দিতে হবে। করলে বঞ্চন শ্ৰীরাধারমণ দয়াল হরি নামেতে কলঙ্ক রবে।।৩।।,,bangla
বসন্ত সে যায় তো হেসে,রবীন্দ্রনাথ ঠাকুর,রবীন্দ্রসঙ্গীত,"বসন্ত সে যায় তো হেসে, যাবার কালে
          শেষ কুসুমের পরশ রাখে বনের ভালে॥
              তেমনি তুমি যাবে জানি,   সঙ্গে যাবে হাসিখানি--
                   অলক হতে পড়বে অশোক বিদায়-থালে
রইব একা ভাসান-খেলার নদীর তটে,
     বেদনাহীন মুখের ছবি স্মৃতির পটে--
          অবসানের অস্ত-আলো   তোমার সাথি,   সেই তো ভালো--
              ছায়া সে থাক্‌ মিলনশেষের অন্তরালে॥",e:\uni\fall25\cse425\project\data\audio\bangla\বসন্ত_সে_যায়_তো_হেসে_রবীন্দ্রনাথ_ঠাকুর.mp3,bangla
বন্ধু বিনে একা ঘরে ভালো লাগে না,শাহ আব্দুল করিম,ফোক গান,বন্ধু বিনে একা ঘরে ভালো লাগে না কার কাছে কই মনের দুঃখ কে আপনা ॥ ছোটবেলা প্রেম করিলাম আনন্দ মনে যৌবনে ছাড়িয়া যাবে আগে কে জানে? গেলে জোয়ানি যৌবন ফুরাইয়া গেলে আর আসিবে নি যৌবন জোয়ারের পানি গেলে ফিরে না ॥ মন কান্দে প্রাণ কান্দে বন্ধুয়া বিনে শুইলে না ঘুম আসে দুই নয়নে বসে কাঁদি নিরালা মন-প্রাণ দিয়াছি যারে যায় না গো ভোলা নারীর বিরহ জ্বালা সে জানে না ॥ প্রাণ থাকিতে আসে যদি আমার প্রাণধন বুকে রাখিয়া তারে জুড়াব জীবন বন্ধু না আসিলে ঝাঁপ দিয়া মরিব আমি যমুনার জলে পাগল আবদুল করিম বলে প্রাণে সহে না ॥,e:\uni\fall25\cse425\project\data\audio\bangla\বন্ধু_বিনে_একা_ঘরে_ভালো_লাগে_না_শাহ_আব্দুল_করিম.mp3,bangla
এই      মৌমাছিদের ঘরছাড়া কে করেছে রে,রবীন্দ্রনাথ ঠাকুর,রবীন্দ্রসঙ্গীত,"এই      মৌমাছিদের ঘরছাড়া কে করেছে রে
          তোরা আমায় ব'লে দে ভাই, ব'লে দে রে॥
          ফুলের গোপন পরান-মাঝে   নীরব সুরে বাঁশি বাজে--
ওদের   সেই সুরেতে কেমনে মন হরেছে রে॥
          যে মধুটি লুকিয়ে আছে,   দেয় না ধরা কারো কাছে,
          সেই মধুতে কেমনে মন ভরেছে রে॥",e:\uni\fall25\cse425\project\data\audio\bangla\এই______মৌমাছিদের_ঘরছাড়া_কে_করেছে_রে_রবীন্দ্রনাথ_ঠাকুর.mp3,bangla
দিল দরিয়া,ভূমি,আধুনিক বাংলা গান,"দিল দরিয়ারে তোরে কিসের কথা কই
ওরে মাঝিরে মাঝিরে কোথাও ভাসি
দোর খুলিয়ারে আমি আশায় আশায় রই
ওরে মাঝিরে মাঝিরে কোথাও ভাসি
আষাঢ় শ্রাবনে লো মাঝি তোর ঐ
উদাস উঠান বুকে
আমি সাঁঝের বেলা গোয়াল ধারে
ঠায় বসে রই
হায় বসে রই
শোন দরিয়ারে আমায়
দে ফিরায়ে দে আমার মাঝি
ও আমার মাঝি
বৈকাল বেলা ঘাটের ধারে
যাই ছুটিয়া বারে বারে
সবার মাঝি ঘরে ফেরে আমার মাঝি নাই
শোন ময়না তোর গানে
দুঃখ ঝরে রাতে ময়নারে
ও ময়নারে
শিমুল পলাশ গাছের ফাকে
রোদ আসে তোর মোরগ ডাকে
আসমানে রঙে আবার বেলা বয়ে যায়",e:\uni\fall25\cse425\project\data\audio\bangla\দিল_দরিয়া_ভূমি.mp3,bangla
কি হবে মিছে আর কাঁদিলে রে,মোহাম্মদ ইব্রাহীম,আধুনিক বাংলা গান,"কি হবে মিছে আর কাঁদিলে রে
(হায়) যেজন যাবার সে চলে গেছে
বুক ভাসে শুধু আঁখিজলে রে…
কত মায়া কত প্রেম
কত না সুখে-দুখে
কেটেছে মধু-লগন
আজো মনে আছে
নেই তুমি কাছে নেই
আছো হৃদয় জুড়ে
কেউ তো রবে না ধরায়
নিয়তির পরিনাম
তবু কেন কেঁদে কেঁদে
ব্যাকুল হলাম
বুক ভেঙে যায় মোর
তোমারে হারায়ে",e:\uni\fall25\cse425\project\data\audio\bangla\কি_হবে_মিছে_আর_কাঁদিলে_রে_মোহাম্মদ_ইব্রাহীম.mp3,bangla
ব্যবচ্ছেদ,মেঘদল,আধুনিক বাংলা গান,"চতুর্মাত্রিকায় ভূমন্ডলায়ন নারায়ণি নমস্তুতে
প্রেত সর্বস্বতায় উলঙ্গ তরবারি নাচে ধমণীতে…
\”একটা ব্যবচ্ছেদ যন্ত্র একটা হাইড্রোজেন স্ট্রফি নিয়ে যা খুশী কর
দেখবে সম্ভব হয়েছে উত্‍কৃষ্টতম আণবিক বিস্ফোরণ,
তারপর ভাব হোক ভ্রুণের মজাদার সব বিকৃতি,
একেই বলে প্রসন্ন নরমেদ এটা কিন্তু বেশ গণতান্ত্রিকও বটে !
ছিন্ন ভিন্ন মানুষ বিনা যে গণতন্ত্র হয় না
মুক্ত বিশ্বে সমানভাবে প্রত্যেকে উন্নত উর্ধ্বমুখী হবে,
অন্তিম সেই প্রোজ্জ্বল তেজস্ক্রিয়তার ভেতর \”
চুপসে যাওয়া বেলুন মুখরতা
হায় ! হায় ! হায় ! মানবতা ! মানবতা !
নিভে যাওয়া বোধ আর জ্বলে উঠা ক্রোধ গড়ে তোলে ধ্বংসের মহাকাল…
শত শত ব্যবচ্ছেদে লেগে থাকা ক্রন্দন আর ভুলে যাওয়া ইতিহাস তোমাদের বুকের স্পন্দন,
অস্থিরতায়, নিমগ্নতায় পুড়ছে স্বদেশ পুড়ছে সবাই
তবুও রুখে দাঁড়াই আমরা
ঘুরে দাঁড়াই আমরা
ফিরে দাঁড়াই",e:\uni\fall25\cse425\project\data\audio\bangla\ব্যবচ্ছেদ_মেঘদল.mp3,bangla
তোমার কটি-তটের ধটি   কে দিল রাঙিয়া,রবীন্দ্রনাথ ঠাকুর,রবীন্দ্রসঙ্গীত,তোমার কটি-তটের ধটি   কে দিল রাঙিয়া,e:\uni\fall25\cse425\project\data\audio\bangla\তোমার_কটি-তটের_ধটি___কে_দিল_রাঙিয়া_রবীন্দ্রনাথ_ঠাকুর.mp3,bangla
পুরানো সেই দিনের কথা ভুলবি কি রে হায়,রবীন্দ্রনাথ ঠাকুর,রবীন্দ্রসঙ্গীত,"পুরানো সেই দিনের কথা ভুলবি কি রে হায়।
ও সেই চোখে দেখা, প্রাণের কথা, সে কি ভোলা যায়।
আয়    আর একটিবার আয় রে সখা, প্রাণের মাঝে আয়।
মোরা   সুখের দুখের কথা কব, প্রাণ জুড়াবে তায়।
মোরা   ভোরের বেলা ফুল তুলেছি, দুলেছি দোলায়--
        বাজিয়ে বাঁশি গান গেয়েছি বকুলের তলায়।
হায়     মাঝে হল ছাড়াছাড়ি, গেলেম কে কোথায়--
আবার  দেখা যদি হল, সখা, প্রাণের মাঝে আয়॥",e:\uni\fall25\cse425\project\data\audio\bangla\পুরানো_সেই_দিনের_কথা_ভুলবি_কি_রে_হায়_রবীন্দ্রনাথ_ঠাকুর.mp3,bangla
দুয়ারী ধূয়ার রাজ্যে আসমানে ঘর বান্ধেরে,তীর্থক,আধুনিক বাংলা গান,"দুয়ারী ধূয়ার রাজ্যে আসমানে ঘর বান্ধেরে
স্বপনও দেখে দেখে রাত্রি পোহায় বৈকালে
আহারে…ওহোরে…
বাপে ড্রাইভার পোলা খালাসী
গাড়ির নম্বর তিনশো আশি
চলছে গাড়ি যাত্রাবাড়ি…",e:\uni\fall25\cse425\project\data\audio\bangla\দুয়ারী_ধূয়ার_রাজ্যে_আসমানে_ঘর_বান্ধেরে_তীর্থক.mp3,bangla
"ঐ রাত ঘুমালো, ঐ চাঁদ ঘুমালো (জেগে আছি একা)","আইয়ুব বাচ্চু, রুদ্র পলাশ",আধুনিক বাংলা গান,"ঐ রাত ঘুমালো,
ঐ চাঁদ ঘুমালো,
নিভে গেছে একে একে সব আলো।।
আমি জেগে আছি একা
ঘুম নেই চোখে ঘুম নেই চোখে
এই জীবন আমার এলোমেলো।।
নিশ্চুপ রাত কাটে একা নিরবে
অসহ্য কষ্টে ঝড় উঠে বুকে
দুঃখ গড়িয়ে পরে দুচোখ বেয়ে
আসে না তো ঘুম শুধু যায় ফাঁকি দিয়ে।
ফুরাবে রাত জানি আলো আসবে
নিঝুম স্বপ্নেরা ফিরে যাবে নীড়ে
ঘুম ভেঙ্গে ব্যস্থতা জেগে উঠবে
শুধু দুঃখ আমার কাছে আসে বারে বারে।",,bangla
এবার তোর মরা গাঙে বান এসেছে,রবীন্দ্রনাথ ঠাকুর,রবীন্দ্রসঙ্গীত,"এবার তোর   মরা গাঙে বান এসেছে,     `জয় মা’ ব’লে ভাসা তরী॥
ওরে রে     ওরে মাঝি, কোথায় মাঝি,    প্রাণপণে, ভাই, ডাক দে আজি",e:\uni\fall25\cse425\project\data\audio\bangla\এবার_তোর_মরা_গাঙে_বান_এসেছে_রবীন্দ্রনাথ_ঠাকুর.mp3,bangla
ও বন্ধু কঠিন-হৃদয় কালিয়া,রাধারমণ দত্ত,ফোক গান,"ও বন্ধু কঠিন-হৃদয় কালিয়া, প্ৰেম কইলাম তার মাম না জানিয়া।এগো, এখন বন্ধে প্ৰাণে মাইল–বিশখা প্ৰেম শিখাইয়া।।আর আগে যদি জানতাম গো এমন–ও সই, পিরিতে মন দিতাম না কখন।এগো, এখন বন্ধে ছাড়িয়া গেল–কিনা দোষ জানিয়া।।আর নতুন প্ৰেমে, নতুন প্ৰেমে নতুন গো কালা–ও সেই নতুন প্ৰেমে দিল গো জ্বালা।ও জ্বালা সইতে গেলে–উঠে দ্বিগুণ হইয়া।।আর ভাইবে রাধারমণ বলে–বন্ধের পুর্বের কথা নাই তার মনে।এগো পূর্বের কথা মনে হইলে–আমায় না যায় ছাড়িয়া।।",e:\uni\fall25\cse425\project\data\audio\bangla\ও_বন্ধু_কঠিন-হৃদয়_কালিয়া_রাধারমণ_দত্ত.mp3,bangla
বন্ধুহারা জিতে মরা মনপ্রাণ উতলা,শাহ আব্দুল করিম,ফোক গান,"বন্ধুহারা জিতে মরা মনপ্রাণ উতলা কেমন করে ঘরে রই একেলা ॥ সখি গো থাকি আমি পরার ঘরে কত মন জুগাইলাম তারে গলে লইলাম কলঙ্কের মালা শাশুড়ি ননদি বাদি এই যন্ত্রণায় সদায় কাঁদিবন্ধে আরও দিলো দ্বিগুণ জ্বালা–কেমন করে ঘরে রই একেলা ॥ সখি গো, প্রেম করা বড় জ্বালা। না করছে-জন আছে ভালাযে করছে তার সোনার অঙ্গ কালা যে জন প্রেমের ভাও জানে নাতার সঙ্গে প্রেম করিও নামরছি মরছি আমি মরছি ভালা–কেমন করে ঘরে রই একেলা ॥ সখি গো, আসতো বন্ধু কইতাম কথা যাইত আমার মনোব্যথামাথায় লইতাম তার চরণের ধূলা আবদুল করিম কয় ভাবিয়া আসিবে শ্যাম কালিয়া কইতাম দুঃখ পাইলে নিরালা– কেমন করে ঘরে রই একেলা ॥",,bangla
যদি প্রশ্ন করি সব চেয়ে মিষ্টি কী,মান্না দে,আধুনিক বাংলা গান,"যদি প্রশ্ন করি সব চেয়ে মিষ্টি কী
হয়তো বলবে মধু
না গো না আমি বলবো তুমি
আমার বাসর ঘরের বধু
যদি প্রশ্ন করি সব চেয়ে গভীর বলো কী
বলবে ভালোবাসা
না গো না আমি বলবো তুমি
তোমার চোখের নীরব ভাষা
যদি প্রশ্ন করি সব চেয়ে আনন্দ দেয় কী
হয়তো বলবে সুখ
না গো না আমি বলবো তুমি
তোমার লজ্জা মাখা মুখ
যদি প্রশ্ন করি সব চেয়ে প্রিয় বলো কী
হয়তো বলবে গান
না গো না আমি বলবো তুমি
তোমার অবুঝ অভিমান",e:\uni\fall25\cse425\project\data\audio\bangla\যদি_প্রশ্ন_করি_সব_চেয়ে_মিষ্টি_কী_মান্না_দে.mp3,bangla
এসো বঁধু কাছে এসো ডাকছি কত নাম ধরে,তপন সিংহ,আধুনিক বাংলা গান,"এসো বঁধু কাছে এসো
.      ডাকছি কত নাম ধরে
পথ চেয়ে বসে আছি
.      আর এস না রাত করে |
দিন ফুরাল রাত এলে
.      বঁধু তো হায় এলোনা রে |
চরণ ধরি মিনতি করি |",e:\uni\fall25\cse425\project\data\audio\bangla\এসো_বঁধু_কাছে_এসো_ডাকছি_কত_নাম_ধরে_তপন_সিংহ.mp3,bangla
কে যাবি চল বৃন্দাবনে যারে নাগাল পাই,রাধারমণ দত্ত,ফোক গান,"কে যাবি চল বৃন্দাবনে যারে নাগাল পাই প্ৰাণনাথ বন্ধুরে পাইলে অঙ্গেতে মিশাই গো।।ধু।।অপার উদয়চাঁদ অঙ্গ শীতল করেআমার লাগি সে চাঁদ সখী অনল হইয়া ঝরে। অপারে বন্ধুয়ার বাড়ী মধ্যে সুর নদী মনে লয় উড়িয়া যাইতাম পংখ না দেয় বিধি। শুনো সখী শ্যামের প্রেমে মরলে জীবন পায় জীবন থাকতে মরলাম আমি এখন কি উপায়। ভাইবে রাধারমণ বলে বন্ধু শ্যামরায়–মইলে আমায় দিও শরণ নেপুর বান্ধী রাঙ্গা পায়।পাঠান্তর হা (৩) : অপার উদয় চাঁদ … ঝরে > আঙ্গুলি কাটিয়া কলম গো সখী,নয়ন s জলে কালি /হাদপত্র কাগজের মাঝে বন্ধের নামটি লিখি/ লেখ লেখ এগো বৃন্দে লেখ মন দিয়া/অবশ্য আসিবা বন্ধু পাইয়া। শুন সখী… এখন কি উপায় > বনফুল হাইতাম যদি থাকতাম বন্ধের গলে / ঝরিয়া ঝরিয়া পড়তাম ও রাঙা চরণে। বন্ধু শ্যামরায় … রাঙা পায় > মনেতে ভাবিয়া / প্রাণ বন্ধু ভুইলা রইছে রসমতী পাইয়া। তী/২৩ : হা (৩) এর অনুরূপ।",e:\uni\fall25\cse425\project\data\audio\bangla\কে_যাবি_চল_বৃন্দাবনে_যারে_নাগাল_পাই_রাধারমণ_দত্ত.mp3,bangla
আমি তা আবার হারাই রে (ও তার চপল চাহনি যেন হাসির খনি),পথিক নবী,আধুনিক বাংলা গান,"আমি তা আবার হারাই রে
ও তার চপল চাহনি যেন হাসির খনি
আমি তা হারায়ে পাই রে
ও সে গোলক ধাঁধা, ধাঁধার ফেড়ে পরে
আমি তা আবার হারাই রে
আমর চাতক কামনা অনাদরে শুকিয়ে
নৃত্যে নদী হয়ে ধায় রে
স্বপ্ন শিকলে
স্বপ্ন শিকলে আটকে ক্লান্ত পা
ঘুম রাতের ময়ুরী হারা হরিণী মন
তবু আশারা বড় হতে চায় রে",,bangla
এ নদী এমন নদী,মান্না দে,আধুনিক বাংলা গান,"এ নদী এমন নদী
জল চাই একটু যদি
দু হাত ভরে উষ্ণ বালু দেয় আমাকে
এ প্রিয়া এমন প্রিয়া
সোহাগে ভরলো হিয়া
কেবলি কেবলি বিদ্রুপ আর
বাঁকা কথাই বলতে থাকে
এ প্রিয়ার চোখের পাতা
ছায়াতে হয়না কালো
কখনো নয়নতারায়
ঝরেনা স্নিগ্ধ আলো
শুধু যে জ্বলে আগুন
তবু তার এমনি গুণ
পুড়বে জেনেও মন যে আমার
তাকেই দেখে তাকে দেখে
এ প্রিয়ার নেইতো জানা
ক্ষমা যে কাকে বলে
মমতা করুণা সে
যতনে এড়িয়ে চলে
গরলে ভরা সে প্রাণ
তবু তার এমনি টান
মরবে জেনেও এ প্রাণ আমার
চায় যে তাকে চায় যে তাকে
শিল্পীঃ মান্না দে।",e:\uni\fall25\cse425\project\data\audio\bangla\এ_নদী_এমন_নদী_মান্না_দে.mp3,bangla
পাগলের খুঁজরে বাজার খুঁজরে প্রফুল্ল বদনে,নাঈম মিয়া,ফোক গান,পাগলের খুঁজরে বাজারখুঁজরে প্রফুল্ল বদনেঅসময়ে পাবি নে তাখুঁজলে ক্ষ্যাপা আনমনে।।যেখানে তোর সরাইখানা সেখানেতে সাঁই রাব্বানাকরিলে রাসুল ব্যঞ্জনাখুঁজে পাবি সেখানে।।আসিলে ঘোর অমানিশাখেলিতে হয় প্রেম পাশাএকই সুতায় বেধে বাসাথাকিস আত্ম সন্ধানে।।মনখানি করিয়া সঁপেদবুঝিতে হয় পাগলের ভেদক্বলবে ধরিয়া ছেদনাঈমে রয় উর্ধ্বমগ্নে।।,,bangla
"বাতাসে বহিছে প্রেম, নয়নে লাগিল নেশা","অনুপম রায়, লগ্নজিতা চক্রবর্তী",আধুনিক বাংলা গান,"বাতাসে বহিছে প্রেম, নয়নে লাগিল নেশা
কারা যে ডাকিল পিছে! বসন্ত এসে গেছে
মধুর অমৃত বাণী, বেলা গেল সহজেই
মরমে উঠিল বাজি; বসন্ত এসে গেছে
থাক তব ভুবনের ধুলিমাখা চরণে
মথা নত করে রব, বসন্ত এসে গেছে
বসন্ত এসে গেছে।।
গগনের নবনীলে মনের গোপনে
বাজে ঐ, বাজে ঐ, বাজে ঐ
পলাশের নেশা মাখি চলেছি দু’জনে
বাসনার রঙে মিশি শ্যামলে স্বপনে
কুহু কুহু শোনা যায় কোকিলের কুহুতান
বসন্ত এসে গেছে, বসন্ত এসে গেছে
পূর্ণিমা রাতে ঐ ছোটছুটি করে কারা!
দখিনা পবনে দোলে, বসন্ত এসে গেছে
কেমনে গাঁথিব মালা, কেমনে বাজিব বেণু
আবেগে কাঁপিছে আঁখি, বসন্ত এসে গেছে
থাক তব ভূবনের ধুলিমাখা চরণে
মথা নত করে রব, বসন্ত এসে গেছে
বসন্ত এসে গেছে।।
বসন্ত এসে গেছে, বসন্ত এসে গেছে
এই বসন্তে অনেক জন্ম আগে
তোমায় প্রথম দেখেছিলেম আমি
হেঁটেছিলেম নিরুদ্দেশের পানে
সেই বসন্ত এখন ভীষণ দামী
আমার কাছে, তোমার কাছে, আমার কাছে
বসন্ত এসে গেছে।।","e:\uni\fall25\cse425\project\data\audio\bangla\বাতাসে_বহিছে_প্রেম,_নয়নে_লাগিল_নেশা_অনুপম_রায়,_লগ্নজিতা_চক্রবর্তী.mp3",bangla
নিম তিতা নিষিন্দা তিতা,Unknown,ফোক গান,"নিম তিতা নিষিন্দা তিতা,
তিতা পানের খয়ের
তাহার চাইতে অধিক তিতারে
দুই সতীনের ঘর।
পৌষ মাসে পিঠা মিঠা
আর মিঠা পান
তাহার চাইতে অধিক মিঠারে
বৌয়ের ছেড়া কাঁথা খান।
চিনি মিঠি, মিষ্টি মিঠা
মিঠা দুধের সর
তাহার চাইতে অধিক মিঠারে
বৌয়ের নরম হাতের চড়।
মেসোর চাইতে মাসী বড়
পাঠার চাইতে খাসী
তাহার চাইতে অধিক বড়রে
বৌয়ের থোবড়া মুখের হাসি।",,bangla
না মিটিতে সাধ মোর নিশি পোহায়,কাজী নজরুল ইসলাম,নজরুলগীতি,"ভৈরবী – কাওয়ালি
না মিটিতে সাধ মোর নিশি পোহায়।
গভীর আঁধার ছেয়ে আজও হিয়ায়॥
    আমার নয়ন ভরে
    এখনও শিশির ঝরে,
    এখনও বাহুর পরে
বঁধু ঘুমায়॥
    এখনও কবরী-মূলে
    কুসুম পড়েনি ঢুলে,
    এখনও পড়েনি খুলে
মালা খোঁপায়॥
    নিবায়ে আমার রাতি;
    পোহাল সবার রাতি
    নিশি জেগে মালা গাঁথি,
প্রাতে শুকায়॥",e:\uni\fall25\cse425\project\data\audio\bangla\না_মিটিতে_সাধ_মোর_নিশি_পোহায়_কাজী_নজরুল_ইসলাম.mp3,bangla
আমার কাদা মাখা সারা হলো,যাদুবিন্দু,ফোক গান,"আমার কাদা মাখা সারা হ’লো।
ধর্মমাছ ধরব ব\’লে নামলাম জলে,
ভক্তি-জাল ছিঁড়ে গেল।
কুসঙ্গে সঙ্গ নিলাম,
কুক্ষণে জাল নামালাম,
বিল ঘুণে যদি পাই চাঁদা পুঁটি
লোভ-চিলে লয়ে গেলো।
আর মাছ ধরায়
আর ধর্ম সে সত্য সে
ধর্ম বিলে তু রসিক ভাসবি জলে
একটি জাল ফেলে
তারাই মাছ ধরল ভাল
হিংসা নিন্দা ঘুচবি দীন
এ একটি কতগুলো।
পাঁচটি ভূত নেমে গেছে
ভয়ে পাণ চমকে গেছে
আরো বাকি জন ষোল
যাদুবিন্দু চরণ ভুলে
হয়েছে এলোমেলো।",,bangla
দেখা হবে বন্ধু কারণে আর অকারণে,"পার্থ বড়ুয়া, সোলস",আধুনিক বাংলা গান,"দেখা হবে বন্ধু কারণে আর অকারণে
দেখা হবে বন্ধু চাপা কোনো অভিমানে
দেখা হবে বন্ধু সাময়িক বৈরিতায় অস্থির অপাগরতায়
দেখা হবে বন্ধু নাটকীয় কোনো বিনয়ী ভঙ্গিতে
ভালোবাসার শুভ্র ইঙ্গিতে
দেখা হবে বন্ধু নিয়ত প্রতিদিন পাশ কেটে যাওয়া
সন্ধ্যার হিমেল হাওয়ায়
দেখা হবে বন্ধু
শ্লোগান মুখর কোনো এক মিছিলে
ব্যস্ততা থেকে ধার দিলে
দেখা হবে বন্ধু
ভীষণ খেয়ালী মনের আতিথেয়তায়
উচ্ছাসে প্রনয় প্রাক্কালে","e:\uni\fall25\cse425\project\data\audio\bangla\দেখা_হবে_বন্ধু_কারণে_আর_অকারণে_পার্থ_বড়ুয়া,_সোলস.mp3",bangla
তীর বেঁধা পাখী আর গাইবে না গান,"সন্ধ্যা মুখোপাধ্যায়,ছায়াছবি – পিতাপুত্র",আধুনিক বাংলা গান,"তীর বেঁধা পাখী আর গাইবে না গানভুলে গেছে জীবনের হাসি কলতানহাসি ছিল গান ছিল সাথী ছিল সাথেবুঝিনি তো তীর ছিল নিয়তীর হাতেদুদিনের মধু মেলা হোলো অবসান।তীর বেঁধা পাখী আর গাইবে না গানবুকে লয়ে অভিমান নীরব হয়েছে ভালোবাসাচোখে তবু আসে জল, অশ্রু যে ব্যথার ভাষাএ জীবনে মালা গেঁথে কেন ছিঁড়ে ফেলাআমি যেন নেভা দীপ ব্যথা ভরা প্রাণ।তীর বেঁধা পাখী আর গাইবে না গানকথা – প্রণব রায়, সুর – রবীন চট্টোপাধ্যায়, কণ্ঠ – সন্ধ্যা মুখোপাধ্যায়,ছায়াছবি – পিতাপুত্র","e:\uni\fall25\cse425\project\data\audio\bangla\তীর_বেঁধা_পাখী_আর_গাইবে_না_গান_সন্ধ্যা_মুখোপাধ্যায়,ছায়াছবি_–_পিতাপুত্র.mp3",bangla
মোর স্বপনের সাথী তুমি কাছে এসো,কিশোর কুমার,আধুনিক বাংলা গান,"মোর স্বপনের সাথী তুমি কাছে এসো
আজ ঋতু ফাল্গুনে কভু দূরে থাকো
বৃথা যায় দিন জানি তুমি আসনাতো
এসো গো এসো গো…
ভালো তো লাগে না
মন তো জাগে না
সব রঙ হারিয়ে
ফুল ঝরে যায়
কেন লজ্জাতে শুধু তুমি মুখ ঢাকো
ভীরু দৃষ্টি মরি কি সৃষ্টি
লাগে যে মিষ্টি এসো গো কাছে
দেখা তুমি দিয়ে মিছে মন রাখো",e:\uni\fall25\cse425\project\data\audio\bangla\মোর_স্বপনের_সাথী_তুমি_কাছে_এসো_কিশোর_কুমার.mp3,bangla
কৈ সে হৃদয়মণি গো প্ৰাণসজনী,রাধারমণ দত্ত,ফোক গান,কৈ সে হৃদয়মণি গো প্ৰাণসজনী খিবা আশায় বসি রইলাম দিবস রজনী।।বিচ্ছেদ বিষম গো দাগছে পরানী দারুণ বিধি কেনে কিলায়া জনম দুস্কিনি এ ধন যৌবন দিলাম প্ৰাণবন্ধুয়ার নিছনি শটের সনে প্ৰেম করিয়া হইলাম ভিখারিনী ভাইবে রাধারমণ গো বলে সকল বিবাদিনী এ দেশে না থাকিমু হইব বিদেশিনী।।,,bangla
হঠাত ভোরে দেখে তোমার সাথে,মাইলস,আধুনিক বাংলা গান,"হঠাত ভোরে দেখে তোমার সাথে
মিষ্টি হেসে তুমি চলে গেলে
রেখে গেলে শুধু স্মৃতিতাকে
আবার দেখে হবে সেই আশাতে
আমি তো সেই দিন থেকে
ভাবছি বসে আমি বলবো তোমায়
একি প্রেম নাকি ভালোবাসা
নাকি আমার মনের এক সুপ্ত বাসনা
আবার দেখা হলো তোমার সাথে
চোখের ভাষায় তুমি বুঝিয়ে দিলে
তোমার চোখের সেই দৃষ্টিতে
না বলা কথার যত ইঙ্গিতে
তুমি তো সেই দিন থেকে
ভাবছো বসে তুমি বলবে আমায়
একি প্রেম নাকি ভালোবাসা
নাকি আমার মনের এক সুপ্ত বাসনা
ব্যান্ডঃ মাইলস।",e:\uni\fall25\cse425\project\data\audio\bangla\হঠাত_ভোরে_দেখে_তোমার_সাথে_মাইলস.mp3,bangla
আমি চৌদ্দপুরুষের ভুমিদাস,"আইয়ুব বাচ্চু, নিয়াজ আহমেদ আংশু",আধুনিক বাংলা গান,"আমি চৌদ্দপুরুষের ভুমিদাস
চৌদ্দপুরুষ ধরে করি চাষবাস
মহাজন যার সৎ ভাই চিরকাল
মহাকালে আমি এক সাক্ষী গোপাল
আমি চৌদ্দপুরুষের ভুমিদাস…।।
এক ফালি আকাশ আমার
এক ফালি ঘর
এক ফালি জমি আমার
আপন হয়েও পর
চৌদ্দপুরুষের স্বপ্নে আমার
ভেজা মাটির গন্ধ
দুঃখ বুকে শান্ত থাকে
চৌদ্দপুরুষ ধরে।
মুদি ঘরের হিসেব খাতায়
নাম সবার শেষে
কিসের এতো কান্নারে তোর
কে শুধায় ভালবেসে
চৌদ্দপুরুষের দেনায় ডুবে
এখন আমি ক্লান্ত
ভাগাভাগির যোগ বিয়োগে
চৌদ্দপুরুষ ধরে।",,bangla
বৃষ্টি দেখে অনেক কেঁদেছি,"পার্থ বড়ুয়া, সোলস",আধুনিক বাংলা গান,"বৃষ্টি দেখে অনেক কেঁদেছি
করেছি কতই আর্তনাদ
দু\’চোখের জলে ভাসাবো বলে
তোমাকে আজ কাঁদাবো বলে
মেঘের ডানায় পাঠিয়ে দিলাম
আমি হাজার বর্ষা রাত…
দক্ষিণা বাতাসে তোমার ভীরু দীর্ঘশ্বাস
আঁধার ঝড়াবে আমার প্রিয় সর্বনাশ
মেঘের ডানায় পাঠিয়ে দিলাম
আমি হাজার বর্ষা রাত…
জানালার ওপাশে তোমার দৃষ্টি বহুদূর
ছুঁয়েছে এ গান তোমায় কান্না সাত সুর
মেঘের ডানায় পাঠিয়ে দিলাম
আমি হাজার বর্ষা রাত…","e:\uni\fall25\cse425\project\data\audio\bangla\বৃষ্টি_দেখে_অনেক_কেঁদেছি_পার্থ_বড়ুয়া,_সোলস.mp3",bangla
