song_name,genre,lyrics,artist_name
এ ছার দেশে বসতি নৈল নাহিক দোসর জনা,ফোক গান,"এ ছার দেশে বসতি নৈল নাহিক দোসর জনা।
মরমের মরমী নহিলে না জানে মরমের বেদনা।।
চিত উচাটন সদা কত উঠে মনে।
ননদী বচনে মোর পাঁজর বিঁধে ঘুণে।।
জ্বালার উপরে জ্বালা সহিতে না পারি।
বঁধু হইল বিমুখ ননদী হৈল বৈরী।।
গুরুজন কুবচন সদা শেলের ঘায়।
কলঙ্কে ভরিল দেশ কি করি উপায়?
বাশুলী আদেশে কবি চণ্ডীদাসের গীত।
আপনা আপনি চিত করহ সম্বিত।।",চণ্ডীদাস
অবাক ভালোবাসা,আধুনিক বাংলা গান,"সব আলো নিভে যাক আঁধারে
শুধু জেগে থাক ঐ দুরের তারারা
সব শব্দ থেমে যাক নিস্তব্ধতায়
শুধু জেগে থাক এই সাগর
আমার পাশে
সব বেদনা মুছে যাক স্থিরতায়
হৃদয় ভরে যাক অস্তিত্বের আনন্দে
হৃদয় গভীরে অবাক দৃষ্টিতে
থমকে দাড়িয়েছে মহাকাল এখানে
শুভ্র বালুর সৈকতে
এলোমেলো বাতাসে গিটার হাতে
নিস্তব্ধতা চৌচির
উন্মাদ ঝংকারে কাঁদি অবাক সুখের কান্না
যেন চুনি হিরা পান্না
সাগরের বুকে
আলপনা এঁকে দিয়ে যায়
অবাক ভালোবাসায়
অবাক ভালোবাসায়
সব আলো নিভে যাক আঁধারে
শুধু জেগে থাক ঐ দুরের তারারা
সব শব্দ থেমে যাক নিস্তব্ধতায়
শুধু জেগে থাক এই সাগর
আমার পাশে
সব কষ্ট বয়ে যাক সুখের ঝড়
হৃদয় ভরে যাক সহজ নীল স্বপনে
হৃদয় গভীরে অবাক দৃষ্টিতে
থমকে দাড়িয়েছে মহাকাল এখানে
শুভ্র বালুর সৈকতে
এলোমেলো বাতাসে গিটার হাতে
নিস্তব্ধতা চৌচির
উন্মাদ ঝংকারে কাঁদি অবাক সুখের কান্না
যেন চুনি হিরা পান্না
সাগরের বুকে
আলপনা এঁকে দিয়ে যায়
অবাক ভালোবাসায়
অবাক ভালোবাসায়",ওয়ারফেইজ
আমার বাণী আমার প্রাণে লাগে,রবীন্দ্রসঙ্গীত,"আমার বাণী আমার প্রাণে লাগে--
যত তোমায় ডাকি, আমার   আপন হৃদয় জাগে ॥
শুধু তোমায় চাওয়া   সেও আমার পাওয়া,
তাই তো পরান পরানপণে হাত বাড়িয়ে মাগে ॥
          হায় অশক্ত, ভয়ে থাকিস পিছে।
লাগলে সেবায় অশক্তি তোর   আপনি হবে মিছে।
          পথ দেখাবার তরে   যাব কাহার ঘরে--
যেমনি আমি চলি, তোমার   প্রদীপ চলে আগে ॥",রবীন্দ্রনাথ ঠাকুর
আমার ভালোবাসা তোমার প্রতি রইল,আধুনিক বাংলা গান,"আমার ভালোবাসা তোমার প্রতি রইল
চোখের আড়ালে চলে গেলে আমি
মনের আঙিনায় রইব
চলেছি অজনা দেশে
আশা বুকে নিয়ে
আবার হবে তো দেখা
হৃদয়ের কাছাকাছি
চলে এসো বন্ধু
এঁকে দেই প্রেমরেখা
শত অচেনার মাঝে
যদিও থাকো তুমি
দেখেই চিনে লইব
নিয়তির ডাকে দিতে হবে সাড়া
তাইতো চলেছি আমি
সইতে হবে গো বিরহ বেদনা
ক্ষণিকের দুনিয়াদারি
শেষে পরমদিনে তুমি আর আমি
প্রেমের দোলনায় দুলব",মোহাম্মদ ইব্রাহীম
"গন্ধম অমূল্য নিধি, গন্ধমই সংসারের ধন",ফোক গান,"গন্ধম অমূল্য নিধি, গন্ধমই সংসারের ধন দিন থাকিতে চিনিয়া লও গন্ধমের সাধন ॥যেজনা চিনল না তারে জানিল গরল ।চিনলে পরে এ সংসারে ইচ্ছামত হয় মরণ সেই ফল খাইতে খুব মজা, ও তার ভেদ খুবই সোজা সময়মত তুলতে পারলে হইবে রাজা।ধরবে লতা ঝরবে পাতা ভাঙ্গলে মাথা যার কারণ ॥কথাটা শুনিতে অতি শক্ত রহিয়াছে অতি গুপ্ত গন্দম গাছটা চুঁয়াইয়া পড়ে তিন ফোঁটা রক্ত ।সেই রক্ত দিয়া স্তুল বান্ধিয়া ইসমে আজম হয় মিলন ॥রশিদ উদ্দিন হইল ঐ অভ্যাস, পাইয়া গন্দম গাছের চাষ দেশ বিদেশে ঘুরে ফিরে, হইয়া হুতাশ ॥যতই পাই ততই খাই, জীবন থাকতে নাই বারণ ॥",রশিদ উদ্দিন
"ও মন কখন শুরু, কখন যে শেষ, কে জানে",আধুনিক বাংলা গান,"ও মন কখন শুরু, কখন যে শেষ, কে জানে?এ যে বাজিকরের খেলারে মন যার খেলা হয় সে জানে।।ও মন তারই হাতের একতারা যে আমিওরে সে বাজালে বাজি আবার সে থামালে থামিবুঝিনা এ কোন ক্ষ্যাপামিও সে জগৎ মেলায় পুতুল নাচায় কে বোঝে বল সেই মানে।।আমার দয়াল বন্ধু আছেতো সেইজনাযার দয়াতে হয় সকল ব্যথা আনন্দেরই সোনাহয় সে সুধারসের কণাআমি তার ঠিকানাি খুঁজে বেড়াই এপার ওপার সবখানে।।গীতিকার- শৈলেন রায়সুরকার- রবীন চট্টোপাধ্যায়গেয়েছেন- সন্ধ্যা মুখোপাধ্যায় ও শ্যামল মিত্রমুভি- কমললতা",প্রণব রায়
আমি আজ বহুদিন পরে কাঁদলাম (বুকের আগুন),আধুনিক বাংলা গান,"আমি আজ
বহুদিন পরে কাঁদলাম
তুমি যাবারও কালে
আমারই দুচোখ দেখে বললে
আমি নাকি বড় দুঃখী
আমি নাকি বড় দুঃখী।।
এখনও তো আমি জোছনা রাতে
তোমার পথ চেয়ে থাকিনা
বরষার রাতে আনমনা ক্ষণে
বিরহি আমি কথাটি লিখিনা
শুধু গাংচিলের গানে
খুঁজি সেই কথাটির মানে।
এখনো গানে মোহনি মায়া
সেই প্রিয় সুর বেজে ওঠেনা
তোমাকে ভেবে মুগ্ধ মনে
অনুপমা তুমি এই ছবিটি আঁকিনা
শুধু রাখালী বাঁশির গানে
খুঁজি সেই কথাটির মানে।",আইয়ুব বাচ্চু
কি হলো কেন হলো কবে হলো,আধুনিক বাংলা গান,"কি হলো কেন হলো কবে হলো
জানিনা
শুরু হলো শেষ হলো কবে হলো
জানিনাতো
হুম্‌ম্‌ম্‌…এ কি হলো
কেউ বোঝে কি না বোঝে হায় আমি শুধু বুঝি
এই আঁধারে ভুলে করে হায় আলো মিছেই খুঁজি
মেঘ মরুতে যায় কি দেখা
দিন যায় একা একা… একা
প্রেম ভাবে কিনা ভাবে হায়
আমি শুধু ভাবি
যে প্রেম দিতে জানে তার
নেই কোনো দাবি
হায় মনে পড়ে কেন তারে
মনে পড়ে বারে বারে… তারে",কিশোর কুমার
ভেঙো না ভেঙো না ধ্যান,নজরুলগীতি,"জংলা দাদরা
ভেঙো না ভেঙো না ধ্যান
    হে মম ধ্যানের দেবতা।
পূজা লহো অর্ঘ্য লহো
    কোয়ো না কোয়ো না কথা॥
পাষাণ-মুরতি তুমি
    পাষাণ হইয়া থাকো,
মন্দির-বেদি হতে
    ধরার ধুলায় নেমো নাকো,
তুমিও মাটির মানুষ
    বুঝায়ে দিয়ো না ব্যথা॥
সহিব সকলই স্বামী
    হেনো হেলা ব্যথা দিয়ো,
সহিব না অপমান
    আমার ভালোবাসার, হে প্রিয়!
থাকো তুমি প্রাণের মাঝে
    তোমার মন্দির যথা॥",কাজী নজরুল ইসলাম
আহা ছল করে জল আনতে আমি যমুনাতে যাই,আধুনিক বাংলা গান,"আহা ছল করে জল আনতে আমি যমুনাতে যাই
যমুনাতে যাই গো আমি, যাই গো যমুনায় |
সে আছে দাঁড়িয়ে পথে বাঁশিখানি নিয়ে হাতে
শেকল বেঁধে রাখে ঘরে আমি শেকল ভেঙ্গে যাই |
ছল চাতুরী করব যত মিছের বোঝা বাড়ে তত
মনে ভাবি যাব না আর বাঁশি টেনে নিয়ে যায় |",তপন সিংহ
আও হে গাইঞ্জা লাগাইয়া বসিয়াছি,ফোক গান,(ত্রিনাথ বন্দনা।)আও হে গাইঞ্জা লাগাইয়া বসিয়াছি। যশোর হইতে নতুন গাইঞ্জা কাইল কিনিয়া আনিয়াছি।।ধোও হে গাইঞ্জা গোলাপজলে বীজ ফালাইয়া পাকুড়ি তুলে হাতে তুলে নয় টিপ দিয়ে কলকি সাজাইয়াছিরে।।গাইঞ্জা খাও রে যত সখা একবার এসে দাও রে দেখা গাইঞ্জায় দম দিতে নাই লেখাজোকা দমসাধন করিয়াছে।।ভাইবে রাধারমণ বলে শম্ভুনাথের পদকমলে ঠাকুর তিননাথ বইলে এ জগতে বাদশাহী করিয়াছি।।,রাধারমণ দত্ত
সে প্রথম প্রেম আমার নীলাঞ্জনা,আধুনিক বাংলা গান,"লাল ফিতে সাদা মোজা সু স্কুলের ইউনিফর্ম
ন\’টার সাইরেন সংকেত সিলেবাসে মনোযোগ কম
পড়া ফেলে এক ছুট ছুট্টে রাস্তার মোড়ে, দেখে
সাইরেন মিস করা দোকানীরা দেয় ঘড়িতে দম
এরপর একরাশ কালো কালো ধোঁয়া
স্কুল বাসে করে তার দ্রুত চলে যাওয়া
এরপর বিষন্ন দিন বাজেনা মনোবীণ
অবসাদে ঘিরে থাকা সে দীর্ঘ দিন
হাজার কবিতা বেকার সবই তা
তার কথা কেউ বলে না
সে প্রথম প্রেম আমার নীলাঞ্জনা
সন্ধ্যা ঘনাতো যখন পাড়ায় পাড়ায়
রক থাকতো ভরে কিছু বখাটে ছোড়ায়
হিন্দি গানের কলি সদ্য শেখা গালাগালি
একঘেয়ে হয়ে যেত সময় সময়
তখন উদাস মন ভোলে মনরঞ্জন
দাম দিয়ে যন্ত্রনা কিনতে চায়
তখন নীলাঞ্জনা প্রেমিকের কল্পনা
ওমনের গভীরতা জানতে চায়
যখন খোলা চুলে হয়তো মনের ভুলে
তাকাতো সে অবহেলে দু\’চোখ মেলে
হাজার কবিতা বেকার সবই তা
তার কথা কেউ বলে না
সে প্রথম প্রেম আমার নীলাঞ্জনা
অংকের খাতা ভরা থাকতো আঁকায়
তার ছবি তার নাম পাতায় পাতায়
হাজার অনুষ্ঠান প্রভাত ফেরীর গান
মন দিন গুনে এই দিনে আশায়
রাত জেগে নাটকের মহরায় চঞ্চল
মন শুধু সে ক্ষনের প্রতিক্ষায়
রাত্রির আঙ্গিনায় যদি খোলা জানালায়
একবার একবার যদি সে দাড়ায়
বোঝেনি অবুঝ মন নীলাঞ্জনা তখন
নিজেতে ছিলো মগণ এ প্রানপণ
হাজার কবিতা বেকার সবই তা
তার কথা কেউ বলে না
সে প্রথম প্রেম আমার নীলাঞ্জনা",নচিকেতা
এবার যখন কালবৈশাখী হবে (বেরোতে গেলে কালবৈশাখী লাগে ),আধুনিক বাংলা গান,"এবার যখন কালবৈশাখী হবে তোদের বাড়ি যাব |
লাগোয়া বাগানের কালো পুরোনো পাঁচিল
তার ওপর বসতে পারে একটা দুটো কাক
ঘাসের ওপর লাল পিঁপড়েগুলোকে লক্ষ রেখে
বসে পড়ব |
ততক্ষণে আম গাছের প্রত্যেকটা পাতা
ধুলোর খোলস ছেড়ে বেরিয়ে এসে
লুটিয়ে পড়েছে ভিজে বাতাসের বুকে |
উতালপাতাল আদরে
বাতাসকেও করে ফেলেছে কচি সবুজ |
বাতাসের গায়ে তখন সবুজ সবুজ গন্ধ,
আমগাছের স্যাঁতসেঁতে কোমরে
পিঠ বিছিয়েই তোকে একটা দেশলাই চাইব |
তুই ছুটবি না",শিলাজিৎ মজুমদার
তুমি একজনই শুধু বন্ধু আমার,আধুনিক বাংলা গান,"তুমি একজনই শুধু বন্ধু আমার শত্রু ও তুমি একজন তাই
তোমাকেই ভালে লাগে তোমাকেই ভালে লাগে
তুমি আমার পুর্নিমা রাত তুমি চন্দ্রগ্রহন তাই
তোমাকেই ভালে লাগে তোমাকেই ভালে লাগে
ওই দুটি হাত যেমন আমায় টেনে নিয়ে যায় মরণে
তেমনি আবার ও-হাত ধরেই ফিরে আসি আমি জীবনে
যে নয়ন জ্বলে দারুণ আগুন বৃষ্টিও দেয় সে নয়ন তাই
তোমাকেই ভালে লাগে তোমাকেই ভালে লাগে
তোমায় পেয়ে এই মনে হয় কানায় কানায় ভরেছি
এই মনে হয় সব হারিয়ে শুন্য আমায় করেছি
যে সাপের মণি দেয় গো আলো সেই যে করে দংশন তাই
তোমাকেই ভালে লাগে তোমাকেই ভালে লাগে",মান্না দে
বন্ধু তোকে মনে পড়ে,আধুনিক বাংলা গান,"বন্ধু তোকে মনে পড়ে
এই শহরে এই বিকেলে
একলা কোনপথে
বন্ধু তোকে মনে পড়ে
ব্যস্ত শহরের ব্যস্ত রেস্তরা
ব্যস্ত চায়ের কাপে
বন্ধু তোকে মনে পড়ে
এই শহরে এই বিকেলে
একলা কোনপথে
বন্ধু তোকে মনে পড়ে
ব্যস্ত শহরের ব্যস্ত রেস্তরা
ব্যস্ত চায়ের কাপে
তোকে কি কখনো ভোলা যায়?
তোকে কি কখনো ভোলা যায়?
তবুও দিন কেটে যায়
তবুও দিন কেটে যায় ।।
বন্ধু তোকে মনে পড়ে
খেলার মাঠে
ক্রিকেট ব্যাটে
আর প্রানহীন আড্ডায়
বন্ধু তোকে মনে পড়ে
কলেজ ক্যাম্পাসের ধূসর প্রাঙ্গন
আর অসীম শূন্যতায়
বন্ধু তোকে মনে পড়ে
খেলার মাঠে
ক্রিকেট ব্যাটে
আর প্রানহীন আড্ডায়
বন্ধু তোকে মনে পড়ে
কলেজ ক্যাম্পাসের ধূসর প্রাঙ্গন
আর অসীম শূন্যতায়
তোকে কি কখনো ভোলা যায়?
তোকে কি কখনো ভোলা যায়?
তবুও দিন কেটে যায়
তবুও দিন কেটে যায় ।।
বন্ধু তোকে মনে পড়ে
সবুজ ঘাসের ঠোটের কোনে
তপ্তরোদের আভায়
বন্ধু তোকে মনে পড়ে
রাতের রাজপথে সোডিয়াম আলো
আর এক পশলা বর্ষায়
তোকে কি কখনো ভোলা যায়?
তোকে কি কখনো ভোলা যায়?
তবুও দিন কেটে যায়
তবুও দিন কেটে যায় ।।",Unknown
এক ধরণের বিদ্রোহ হল কবিতা,আধুনিক বাংলা গান,"এক ধরণের বিদ্রোহ হল কবিতা
এক ধরনের বিদ্রোহ হল গান
পৃথিবীর যত ফয়দা লোটার যন্ত্র
করে দিতে চাই ভেঙেচুরে খান খান৷৷
এক ধরনের বিদ্রোহ হল সৃষ্টি
এক ধরণের বিদ্রোহ আনে প্রাণ৷
নিষ্পাণ এই সর্বংসহা রাজ্যে
অন্তর্ঘাতি আমাদের এই গান৷৷
এক ধরণের বিদ্রোহ ভালবাসা
এক ধরনের বিদ্রোহ হল দাবী
উগ্র প্রেমের ছুরিতে দিচ্ছি শান
দখল করব জীবনের মৃগনাভি৷
শরীরে চলছে কামনার বিদ্রোহ
গেরিলার মত নির্ভীক তার চোখ
আমার স্পর্ধা তোমারই জীবনমুখি
আমার লড়াই এবার তোমার হোক৷
এক ধরণের বিদ্রোহ হল চৈত্র
বিদ্রোহে পড়ে দমকা চৈতি হাওয়া
নাচে বিদ্রোহে কালবৈশাখী ঝড়
তুফানে ওড়ায় মুমূর্ষু চাওয়া-পাওয়া৷
পরিবর্তন চাওয়াটাই বিদ্রোহ
ধ্বংসের দাবী সৃষ্টিতে উদ্বেল
কামনায় আজ আগুন লেগেছে দেখ,
ভাবনায় ফাটে মলোটভ ককটেল৷৷",সুমন চট্টোপাধ্যায়
কাল সারারাত ছিল স্বপনের রাত,আধুনিক বাংলা গান,"কাল সারারাত ছিল স্বপনের রাত
স্মৃতির আকাশে যেন বহুদিন পর
মেঘ ভেঙে উঠেছিল পূর্ণিমার চাঁদ
ঘুম ছিল না দুটি চোখের পাতায়
মন ছিল তন্ময় কথায় কথায়
চাঁদ মুখে চাঁদ দেখে কেটে গেল রাত
ঝড় ছিল না ভীরু সজন হাওয়ায়
সুখ ছিল সারাক্ষণ চাওয়া পাওয়ায়
সাথী হয়ে কেউ ছিল হাতে রেখে হাত",বেবী নাজনীন
একেলা গোরী জলকে চলে গঙ্গাতীর,নজরুলগীতি,"জৌনপুরি – দাদরা
একেলা গোরী জলকে চলে গঙ্গাতীর।
অঙ্কে ঢুলিয়া পড়ে লালসে অলস সমীর॥
  কাঁকনে কলসে বাজে
  কত কথা পথ মাঝে,
  আঁচল চুমিছে শিশির॥
  তটিনীতে চলে কি গো
  সোনার বরন মায়া-মৃগ,
  নয়নে আবেশ মদির।
  রাঙা উষার রাঙা সতিন,
  পথ-ভোলা ছন্দ কবির॥",কাজী নজরুল ইসলাম
যতবার আলো জ্বালাতে চাই,রবীন্দ্রসঙ্গীত,"যতবার আলো জ্বালাতে চাই
       নিবে যায় বারে বারে।
আমার জীবনে তোমার আসন
       গভীর অন্ধকারে।
                    যে লতাটি আছে শুকায়েছে মূল
                    কুঁড়ি ধরে শুধু, নাহি ফোটে ফুল,
                    আমার জীবনে তব সেবা তাই
                           বেদনার উপহারে।
পূজাগৌরব পুণ্যবিভব
       কিছু নাহি, নাহি লেশ,
এ তব পূজারী পরিয়া এসেছে
       লজ্জার দীন বেশ।
                    উৎসবে তার আসে নাই কেহ,
                    বাজে নাই বাঁশি, সাজে নাই গেহ--
                    কাঁদিয়া তোমায় এনেছে ডাকিয়া
                           ভাঙা মন্দির -দ্বারে।",রবীন্দ্রনাথ ঠাকুর
এইতো আমার প্রথম ভালোবাসা,আধুনিক বাংলা গান,"এইতো আমার প্রথম ভালোবাসা
এইতো প্রথম তোমার কাছে আসা
দুজনার দুটি মন
চিরদিন পাশাপাশি
প্রেমের বাঁধনে বেঁধেছে
মেটেনা আশা
স্মৃতির পাতায় যখনই
ভাবি যে তোমায়
এক এক করে মনে হয়
সবই মিলে যায়
জীবনের সব ব্যথা
নিমিষে ভুলে যাই
শুনলে তোমার মুখের
মধুর ভাষা
মনের ঘরে কখনো
হারালে তোমায়
হৃদয়ে কত বিরহের
ঝড় বয়ে যায়
কি করে বোঝাবো
তোমাকে না পেলে
বিফলে যায় কত
আশা ভরসা",ইমতিয়াজ বাবু
বহুদিন আগে নাকি ছিল ভগবান,আধুনিক বাংলা গান,"বহুদিন আগে নাকি ছিল ভগবান
ধনুকেতে টান দিয়ে ছুঁড়ে দিত বান
কথা নাকি শুনে তার সব হনুমান
যুদ্ধের ক্ষেত্রে দিয়ে দিত প্রাণ
দাতা ছিল ত্রাতা ছিল করে দিত দান
প্রজারা তাকে কত করে সম্মান
তাই সীতা সতী কিনা করতে প্রমাণ
প্রজাদের অনুরোধে আগুন জ্বালান
এ বেচারা, এ বেচারা ভাবে বসে বসে ভেবে সারা |
স্বর্গে তখন ছিল দেবতার রাজ
মধ্যমনি তিনি গুণী দেবরাজ
যখন তখন তিনি ছুঁড়তেন বাজ
মর্ত্যে শান্তি রাখা ছিল তার কাজ
রূপসী উর্বশী আর সোমরস
স্বর্গটা ছিল নাকি তারই হাতে বশ
দেবগুণে গুণী তুমি কি করিলে কাজ
সারা দেহ লোচনে ভরে কাটে লাজ
এ বেচারা ভাবে, বসে বসে ভেবে সারা |
আগুন আজও জ্বলে ভীষণ জ্বলন
পিতৃ-আজ্ঞা আজও হচ্ছে পালন
বিভীষণ আজও আছে আছেন রাবণ
আজও বীরেরা মরে লড়ে মহারণ
আজও আছে ভগবান তাকত বহুত
উর্বশী সোমরস তাও মজুত
আগুন আজও জ্বলে জ্বলে ধুনোধূপ
বদলায় চেহারা বদলায় রূপ
এ বেচারা, এ বেচারা ভাবে বসে বসে ভেবে সারা |",শিলাজিৎ মজুমদার
যখন রব না আমি দিন হলে অবসান,আধুনিক বাংলা গান,"যখন র’ব না আমি দিন হলে অবসান,আমারে ভুলিয়া যেও মনে রেখো মোর গান।।আমার ফুলে ধূলা যদি লাগে ভুলে,গানের কুসুমগুলি হবে না তো কভু ম্লান।মোর জীবনের যত ভুল, তুমি ভুলে যেও সেইদিনমোর জীবনের যত ভূল নিয়ে যায় নিশি ভোরে,যে দিন হল মলিন।সেই স্মৃতি হবে মোর বিদায়বেলার দান।।কথা – প্রণব রায়, সুর – রাইচাঁদ বড়াল, কণ্ঠ – কুন্দন লাল সায়গালছায়াছবি – পরিচয়",কুন্দন লাল সায়গালছায়াছবি – পরিচয়
নাচে ওই আনন্দে নন্দদুলাল,নজরুলগীতি,"খাম্বাজ কাহারবা
  নাচে ওই আনন্দে নন্দদুলাল।
    তাতা থই তাতা থই –
নাচে    বৃন্দাবনে হরি ব্রজগোপাল॥
  ছন্দ নামে, দক্ষিণে বামে,
  টলে বাঁকা শিখীপাখা।
  উছল যমুনাজলে বাজিছে তাল।
    নাচে নন্দদুলাল॥
বিরাট খেলে হেরো আজ শিশুর রূপে,
স্বর্গে কাঙাল করি ধরায় এল চুপে চুপে।
  এত রূপ কেমনে দেখি,
  দিলে বিধি দুটি আঁখি
  তাহে আবার পলক পড়ে;
  বিশ্ব-পালক হল বালক রাখাল॥",কাজী নজরুল ইসলাম
সইরে চোখ দুটো তোর চৌকাঠে রাখ চৌকিদারীতে,আধুনিক বাংলা গান,"সইরে
চোখ দুটো তোর চৌকাঠে রাখ চৌকিদারীতে
বন্ধ করে রাখনা কপাট সময় থাকিতে
.              নয়তো পড়বি ফাঁকিতে ||
.             সোনার চেয়ে দামী রতন
.             মন যে তারে বলে
.             অরূপ রতন নিতে যে চোর
.             আসে নানান্ ছলে
.             ওতোর, মনের পান্না চুরি যাবে
.             দিনে ডাকাতিতে ||
মনের ঘরের দরজাতে এবার দেরে চাবি
ভালবাসার মন হারালে
.             কোথায় তারে পাবি ?
ফুলের মধু নিতে যেমন
.             আসেরে মৌমাছি
মনের মধু নেবে যে-জন
.             সে তোর কাছাকাছি
ওতোর, নালিশ করা মিছে হবে
.             ভবের আদালতে ||
*************************
কথা – শিবদাস বন্দ্যোপাধ্যায়
সুর – শৈলেশ রায়
শিল্পী- মান্না দে
ছায়াছবি – পরিচয়","মান্না দে, শিবদাস বন্দ্যোপাধ্যায়, শৈলেশ রায়"
কান্দে শুধু মন,আধুনিক বাংলা গান,"কান্দে শুধু মন কেন কান্দেরে
যখন সোনালী রূপোলী আলো
নদীর বুকে বাসা খোঁজেরে
দখিনা বাতাসের তোড়ে
খয়েরী ডিঙ্গার পাল ওড়ে রে
ঢেউয়ের তালে নাচে ডিঙ্গা
ঝিলমিল নদীর কূলে আসিরে
কান্দে তবু মন কেন কান্দেরে
যখন সোনালী রূপোলী আলো
নদীর বুকে বাসা খোঁজেরে
মাইনষের স্বপন
ঘুনে ধরা বইঠা যেন
দুমড়ায় মুচড়ায় যায়
সব বন্ধুরে
কান্দে শুধু মন কেন কান্দেরে
যখন সোনালী রূপোলী আলো
নদীর বুকে বাসা খোঁজেরে",ভূমি
আজ    বরষার রূপ হেরি মানবের মাঝে,রবীন্দ্রসঙ্গীত,"আজ    বরষার রূপ হেরি মানবের মাঝে--
          চলেছে গরজি, চলেছে নিবিড় সাজে॥
              হৃদয়ে তাহার নাচিয়া উঠিছে ভীমা,
              ধাইতে ধাইতে লোপ ক'রে চলে সীমা,
              কোন্‌ তাড়নায় মেঘের সহিত মেঘে
                   বক্ষে বক্ষে মিলিয়া বজ্র বাজে॥
          পুঞ্জে পুঞ্জে দূরে সুদূরের পানে
          দলে দলে চলে, কেন চলে নাহি জানে।
          জানে না কিছুই কোন্‌ মহাদ্রিতলে
          গভীর শ্রাবণে গলিয়া পড়িবে জলে,
          নাহি জানে তার ঘনঘোর সমারোহে
              কোন্‌ সে ভীষণ জীবন মরণ রাজে॥",রবীন্দ্রনাথ ঠাকুর
ঐ ঝিরি ঝিরি পিয়ালের কুঞ্জে,আধুনিক বাংলা গান,"ঐ ঝিরি ঝিরি পিয়ালের কুঞ্জে
গুন গুন মৌমাছি গুঞ্জে
সেই সে বনছায় পাখী যে গান গায়
মন যে চায় সেথা হাসিতে।।
আকাশে ঐ দূরে নীল রং লেগেছে
অন্তরে আজ মোর একি সুর জেগেছে
জানিনা কে ডাকে, অলখে সে থাকে
শুধু সে সাড়া দেয় বাঁশীতে।।
তারি পথ চেয়ে দিন যেন চলে যায়
একি ব্যথা পেয়ে হায়
মালা হতে ফুলগুলি ঝরে যেতে চায়।
মিছে কি আমি তবে দিন শুধু গুনেছি
মনে মনে স্বপ্নের মায়াজাল বুনেছি।
কেন যে কে জানে, এ ব্যথা সে আনে
চায়না সে কাছে আসিতে।","গৌরীপ্রসন্ন মজুমদার, শ্যামল মিত্র"
শ্যামা নামের লাগল আগুন আমার দেহ-ধূপকাঠিতে,নজরুলগীতি,"শ্যামা নামের লাগল আগুন
  আমার দেহ-ধূপকাঠিতে।
যত জ্বালি সুবাস তত
  ছড়িয়ে পড়ে চারিভিতে॥
ভক্তি আমার ধূপের মতো
  ঊর্ধ্বে ওঠে অবিরত,
শিবলোকের দেব-দেউলে মা-র শ্রীচরণ পরশিতে॥
  অন্তরলোক শুদ্ধ হল পবিত্র সেই ধূপ-সুবাসে,
(ওরে)  মা-র হাসি মুখ চিত্তে ভাসে চন্দ্রসম নীল আকাশে।
  সব কিছু মোর পুড়ে কবে
    চিরতরে ভস্ম হবে,
  মা-র ললাটে আঁকব তিলক সেই ভস্ম-বিভূতিতে॥",কাজী নজরুল ইসলাম
এখনো তারে চোখে দেখি নি,রবীন্দ্রসঙ্গীত,"এখনো তারে চোখে দেখি নি, শুধু বাঁশি শুনেছি--
          মন প্রাণ যাহা ছিল দিয়ে ফেলেছি॥
                   শুনেছি মুরতি কালো   তারে না দেখা ভালো।
          সখী, বলো আমি জল আনিতে যমুনায় যাব কি॥
শুধু স্বপনে এসেছিল সে,   নয়নকোণে হেসেছিল সে।
          সে অবধি, সই, ভয়ে ভয়ে রই-- আঁখি মেলিতে ভেবে সারা হই।
              কাননপথে যে খুশি সে যায়,   কদমতলে যে খুশি সে চায়--
                   সখী, বলো আমি আঁখি তুলে কারো পানে চাব কি॥",রবীন্দ্রনাথ ঠাকুর
এই রূপালী রাত তারার মেলায়,আধুনিক বাংলা গান,"এই রূপালী রাত তারার মেলায়
উঁকি দেয়া মেঘের ভেলায়
উদাসী মন শুধু হারায় (মন)
প্রয়োজন অনুভবের অপার
নিবিড় এক বাঁধনের বন্যায়
ফিরে আসে আমারই আশায়
কতদিন দেখেনি দু\’চোখ
নির্ঘুম চোখ
বন্ধু তোমায়
তুমি কি এমন সময়
তাকিয়ে আকাশ
ভাবছ আমায়
এই রাত এমন রাত
এখানেই সব বলা যায়
খুলে দাও মনের দ্বার
দেখো আছি পাশে তোমার
ভালো লাগা সব নিয়ে
সাদা মেঘ উড়ে যায়
তুমি পাবে ছোঁয়া তার
পাঠালাম যা তোমায়
মায়াময় এই রাতে
শিস দিয়ে যায় যা হাওয়া
তোমারই জন্য গান
তোমাতেই পৃথিবী পাওয়া
জল জোসনার মাঝে
ভালো লাগা ছড়ালাম
অনুরণে থেকে যাবে
তোমারই ভাবনায়",আইয়ুব বাচ্চু
